State,County name,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
IN,Starke County,Noncore,18,204
IN,Steuben County,Micropolitan,21,298
IN,Sullivan County,Small metro,15,211
IN,Tippecanoe County,Small metro,224,1842
IN,Tipton County,Noncore,31,181
IN,Vanderburgh County,Medium metro,441,3277
IN,Vermillion County,Small metro,18,171
IN,Vigo County,Small metro,248,1786
IN,Wabash County,Micropolitan,50,481
IN,Warrick County,Medium metro,201,1206
IN,Wayne County,Micropolitan,210,1339
IN,Wells County,Medium metro,42,330
IN,White County,Noncore,22,256
IN,Whitley County,Medium metro,17,294
KS,Barton County,Micropolitan,21,291
KS,Brown County,Noncore,20,130
KS,Butler County,Medium metro,43,740
KS,Cherokee County,Noncore,12,194
KS,Clay County,Noncore,20,115
KS,Cloud County,Noncore,21,144
KS,Cowley County,Micropolitan,72,441
KS,Crawford County,Micropolitan,74,576
KS,Dickinson County,Noncore,36,237
KS,Doniphan County,Small metro,14,80
KS,Douglas County,Small metro,71,918
KS,Ellis County,Micropolitan,120,496
KS,Ellsworth County,Noncore,17,94
KS,Finney County,Micropolitan,84,349
KS,Ford County,Micropolitan,52,296
KS,Franklin County,Micropolitan,20,255
KS,Geary County,Micropolitan,27,188
KS,Gove County,Noncore,19,52
KS,Harper County,Noncore,13,90
KS,Harvey County,Medium metro,58,486
KS,Jefferson County,Small metro,20,151
KS,Johnson County,Large fringe metro,697,5480
KS,Kearny County,Micropolitan,10,39
KS,Labette County,Micropolitan,39,286
KS,Leavenworth County,Large fringe metro,33,574
KS,Lyon County,Micropolitan,51,315
KS,McPherson County,Micropolitan,50,417
KS,Marshall County,Noncore,23,114
KS,Miami County,Large fringe metro,15,260
KS,Mitchell County,Noncore,13,106
KS,Montgomery County,Micropolitan,54,440
KS,Morris County,Noncore,15,81
KS,Nemaha County,Noncore,45,189
KS,Neosho County,Noncore,14,231
KS,Ness County,Noncore,11,49
KS,Norton County,Noncore,25,80
KS,Phillips County,Noncore,16,68
KS,Pottawatomie County,Small metro,23,166
KS,Pratt County,Noncore,23,130
KS,Reno County,Micropolitan,143,971
